FORENAME;NAME;COUNTRY;BIRTH_DATE;GUEST_ANIMAL_HAS_ALLERGY;HOST_ANIMAL;GUEST_FOOD_CONSTRAINT;HOST_FOOD;HOBBIES;GENDER;PAIR_GENDER;HISTORY
Adonia;A;FR;2004-03-15;no;yes;;vegetarian;sports,technology;female;;other
Bellatrix;B;GE;2005-07-22;yes;no;nonuts;;culture,science;female;;same
Callista;C;IT;2006-11-01;no;yes;vegetarian;nonuts;science,reading;male;;other
Xolag;X;ES;2004-01-10;;no;;vegetarian;culture,technology;male;;
Yak;Y;FR;2007-09-05;;yes;nonuts;;science,reading;male;;same
Zander;Z;GE;2003-04-18;;no;vegetarian;nonuts;technology;male;;
Elara;E;IT;2005-02-28;no;yes;;vegetarian;reading,gaming;female;;other
Finnian;F;ES;2006-08-12;yes;no;vegetarian;;gaming,music;male;;same
Gaius;G;FR;2004-12-03;no;yes;nonuts;vegetarian;music,cooking;male;;other
Hesper;H;GE;2007-06-19;;no;;nonuts;cooking,sports;female;;
Iris;I;IT;2003-10-25;;yes;vegetarian;;sports,technology;female;;same
Jaxon;J;ES;2005-01-07;;no;nonuts;vegetarian;technology,culture;male;;other
Kael;K;FR;2006-04-30;no;yes;;nonuts;culture,science;male;;
Lira;L;GE;2004-09-14;yes;no;vegetarian;;science,reading;female;;same
Milo;M;IT;2007-03-08;no;yes;nonuts;vegetarian;reading,gaming;male;;other
Niamh;N;ES;2003-08-20;;no;;vegetarian;gaming,music;female;;
Orion;O;FR;2005-05-11;;yes;vegetarian;;music,cooking;male;;same
Phoebe;P;GE;2006-12-24;;no;nonuts;nonuts;cooking,sports;female;;other
Quinn;Q;IT;2004-02-01;no;yes;;vegetarian;sports,technology;female;;
Rowan;R;ES;2005-07-16;yes;no;vegetarian;;technology,culture;male;;same
Sora;S;FR;2007-10-09;no;yes;nonuts;vegetarian;culture,science;female;;other
Thorne;T;GE;2003-06-03;;no;;nonuts;science,reading;male;;
Uriel;U;IT;2005-11-29;;yes;vegetarian;;reading,gaming;male;;same
Vesper;V;ES;2006-09-07;;yes;nonuts;vegetarian;gaming,music;female;;other
Willow;W;FR;2004-04-22;no;yes;;nonuts;music,cooking;female;;
Xavier;X;GE;2005-09-01;yes;no;vegetarian;;cooking,sports;male;;same
Yara;Y;IT;2007-02-17;no;yes;nonuts;nonuts;sports,technology;female;;other
Zephyr;Z;ES;2003-05-06;;no;;vegetarian;technology,culture;male;;
Anya;A;FR;2005-10-13;;yes;vegetarian;;culture,science;female;;same
Blaise;B;GE;2006-03-27;;no;nonuts;vegetarian;science,reading;male;;other
Caelum;C;IT;2004-07-04;no;yes;;nonuts;reading,gaming;male;;
Daphne;D;ES;2005-12-19;yes;no;vegetarian;;gaming,music;female;;same
Elias;E;FR;2007-01-25;no;no;nonuts;vegetarian;music,cooking;male;;other
Freya;F;GE;2003-09-11;;no;;nonuts;cooking,sports;female;;
Gideon;G;IT;2005-04-02;;yes;vegetarian;;sports,technology;male;;same
Hera;H;ES;2006-10-16;;no;nonuts;nonuts;technology,culture;female;;other
Icarus;I;FR;2004-01-08;no;no;;vegetarian;culture,science;male;;
Juno;J;GE;2005-06-21;yes;no;vegetarian;;science,reading;female;;same
Kian;K;IT;2007-08-01;no;yes;nonuts;vegetarian;reading,gaming;male;;other
Lyra;L;ES;2003-03-14;;no;;nonuts;gaming,music;female;;
Maddox;M;FR;2005-08-28;;yes;vegetarian;;music,cooking;male;;same
Nova;N;GE;2006-05-09;;no;nonuts;nonuts;cooking,sports;female;;other
Odin;O;IT;2004-11-05;no;no;;vegetarian;sports,technology;male;;
Petra;P;ES;2005-03-20;yes;no;vegetarian;;technology,culture;female;;same
Rhys;R;FR;2007-06-10;no;yes;nonuts;vegetarian;culture,science;male;;other
Selene;S;GE;2003-07-29;;no;;nonuts;science,reading;female;;
Titan;T;IT;2005-12-06;;yes;vegetarian;;reading,gaming;male;;same
Uma;U;ES;2006-02-23;;no;nonuts;nonuts;gaming,music;female;;other
Victor;V;FR;2004-05-17;no;yes;;vegetarian;music,cooking;male;;
Wren;W;GE;2005-10-02;yes;no;vegetarian;;cooking,sports;male;;same
