FORENAME;NAME;COUNTRY;BIRTH_DATE;GUEST_ANIMAL_HAS_ALLERGY;HOST_ANIMAL;GUEST_FOOD_CONSTRAINT;HOST_FOOD;HOBBIES;GENDER;PAIR_GENDER;HISTORY
Amelia;A;FR;2004-06-20;;yes;;nonuts;photography,travel;female;;
Bernard;B;GE;2005-09-12;;no;;vegetarian;travel,hiking;male;;same
Chloe;C;IT;2006-03-05;;yes;;nonuts;hiking,reading;female;;Other
David;D;ES;2003-11-28;;yes;;nonuts;reading,cooking;male;;
Elena;E;FR;2007-01-15;;no;;vegetarian;cooking,gardening;male;;same
Felix;F;GE;2005-04-01;;no;;vegetarian;gardening,music;male;;Other
Grace;G;IT;2004-08-07;;yes;;vegetarian;music,painting;female;;
Harry;H;ES;2006-02-14;;no;;vegetarian;painting,writing;male;;same
Isabella;I;FR;2007-05-23;;yes;;nonuts;writing,gaming;female;;Other
Jack;J;GE;2003-10-09;;no;;vegetarian;gaming,technology;male;;
Karen;K;IT;2005-11-30;;yes;;vegetarian;technology,sports;female;;same
Liam;L;ES;2006-07-25;;no;;vegetarian;sports,culture;male;;Other
Mia;M;FR;2004-04-10;;yes;;nonuts;culture,science;female;;
Noah;N;GE;2005-08-19;;no;;vegetarian;science,reading;male;;same
Olivia;O;IT;2007-03-02;;yes;;vegetarian;reading,photography;female;;Other
Peter;P;ES;2003-06-16;;no;;nonuts;photography,travel;male;;
Quinn;Q;FR;2005-01-28;;yes;;vegetarian;travel,hiking;female;;same
Rachel;R;GE;2006-12-04;;yes;;nonuts;hiking,cooking;female;;Other
Samuel;S;IT;2004-09-03;;no;;vegetarian;cooking,gardening;;
Tina;T;ES;2005-02-09;;no;;vegetarian;gardening,music;female;;same
Uriel;U;FR;2007-04-13;no;;nonuts;;music,painting;male;;Other
Violet;V;GE;2003-05-26;no;;nonuts;;painting,writing;male;;
William;W;IT;2005-07-08;no;;vegetarian;;writing,gaming;male;;same
Xenia;X;ES;2006-08-22;no;;nonuts;;gaming,technology;female;;Other
Yannick;Y;FR;2004-10-17;no;;vegetarian;;technology,sports;male;;
Zara;Z;GE;2005-12-01;yes;;vegetarian;;sports,culture;female;;same
Adam;A;IT;2007-09-06;no;;nonuts;;culture,science;male;;Other
Beth;B;ES;2003-01-21;no;;nonuts;;science,reading;female;;
Caleb;C;FR;2005-03-18;no;;vegetarian;;reading,photography;male;;same
Diana;D;GE;2006-11-14;no;;nonuts;;photography,travel;female;;Other
Ethan;E;IT;2004-02-05;no;;vegetarian;;travel,hiking;male;;
Fiona;F;ES;2005-06-29;yes;;vegetarian;;hiking,cooking;female;;same
George;G;FR;2007-01-11;no;;nonuts;;cooking,gardening;female;;Other
Hannah;H;GE;2003-08-04;no;;nonuts;;gardening,music;female;;
Isaac;I;IT;2005-09-27;no;;vegetarian;;music,painting;male;;same
Jessica;J;ES;2006-04-19;no;;nonuts;;painting,writing;female;;Other
Kevin;K;FR;2004-07-13;no;;vegetarian;;writing,gaming;male;;
Laura;L;GE;2005-10-24;yes;;vegetarian;;gaming,technology;female;;same
Marcus;M;IT;2007-02-08;no;;nonuts;;technology,sports;male;;Other
Nora;N;ES;2003-04-29;no;;nonuts;;sports,culture;female;;
Oscar;O;FR;2005-05-16;no;;vegetarian;;culture,science;male;;same
Penny;P;GE;2006-10-31;no;;nonuts;;science,reading;female;;Other
Riley;R;IT;2004-03-01;no;;vegetarian;;reading,photography;male;;
Sarah;S;ES;2005-07-20;yes;;vegetarian;;photography,travel;male;;same
Thomas;T;FR;2007-11-09;no;;nonuts;;travel,hiking;male;;Other
Ursula;U;GE;2003-09-22;no;;nonuts;;hiking,cooking;female;;
Vincent;V;IT;2005-01-05;no;;vegetarian;;cooking,gardening;male;;same
Wendy;W;ES;2006-08-11;no;;nonuts;;gardening,music;female;;Other
Xavier;X;FR;2004-12-25;no;;vegetarian;;music,painting;male;;
Yvonne;Y;GE;2005-03-07;yes;;vegetarian;;painting,writing;female;;same
