FORENAME;NAME;COUNTRY;BIRTH_DATE;GUEST_ANIMAL_HAS_ALLERGY;HOST_ANIMAL;GUEST_FOOD_CONSTRAINT;HOST_FOOD;HOBBIES;GENDER;PAIR_GENDER;HISTORY;FORENAME;NAME;COUNTRY;BIRTH_DATE;GUEST_ANIMAL_HAS_ALLERGY;HOST_ANIMAL;GUEST_FOOD_CONSTRAINT;HOST_FOOD;HOBBIES;GENDER;PAIR_GENDER;HISTORY
Adonia;A;FR;2004-03-15;no;yes;;vegetarian;sports,technology;female;;other;Amelia;A;FR;2004-06-20;no;yes;;nonuts;photography,travel;female;;
Bellatrix;B;GE;2005-07-22;yes;no;nonuts;;culture,science;female;;same;Bernard;B;GE;2005-09-12;yes;no;vegetarian;;travel,hiking;male;;same
Callista;C;IT;2006-11-01;no;yes;vegetarian;nonuts;science,reading;male;;other;Chloe;C;IT;2006-03-05;no;yes;nonuts;vegetarian;hiking,reading;female;;Other
Xolag;X;ES;2004-01-10;;no;;vegetarian;culture,technology;male;;;David;D;ES;2003-11-28;;yes;;nonuts;reading,cooking;male;;
Yak;Y;FR;2007-09-05;;yes;nonuts;;science,reading;male;;same;Elena;E;FR;2007-01-15;;no;vegetarian;;cooking,gardening;male;;same
Zander;Z;GE;2003-04-18;;no;vegetarian;nonuts;technology;male;;;Felix;F;GE;2005-04-01;;no;nonuts;vegetarian;gardening,music;male;;Other
Elara;E;IT;2005-02-28;no;yes;;vegetarian;reading,gaming;female;;other;Grace;G;IT;2004-08-07;no;yes;;vegetarian;music,painting;female;;
Finnian;F;ES;2006-08-12;yes;no;vegetarian;;gaming,music;male;;same;Harry;H;ES;2006-02-14;yes;no;vegetarian;;painting,writing;male;;same
Gaius;G;FR;2004-12-03;no;yes;nonuts;vegetarian;music,cooking;male;;other;Isabella;I;FR;2007-05-23;no;yes;nonuts;nonuts;writing,gaming;female;;Other
Hesper;H;GE;2007-06-19;;no;;nonuts;cooking,sports;female;;;Jack;J;GE;2003-10-09;;no;;vegetarian;gaming,technology;male;;
Iris;I;IT;2003-10-25;;yes;vegetarian;;sports,technology;female;;same;Karen;K;IT;2005-11-30;;yes;vegetarian;;technology,sports;female;;same
Jaxon;J;ES;2005-01-07;;no;nonuts;vegetarian;technology,culture;male;;other;Liam;L;ES;2006-07-25;;no;nonuts;vegetarian;sports,culture;male;;Other
Kael;K;FR;2006-04-30;no;yes;;nonuts;culture,science;male;;;Mia;M;FR;2004-04-10;no;yes;;nonuts;culture,science;female;;
Lira;L;GE;2004-09-14;yes;no;vegetarian;;science,reading;female;;same;Noah;N;GE;2005-08-19;yes;no;vegetarian;;science,reading;male;;same
Milo;M;IT;2007-03-08;no;yes;nonuts;vegetarian;reading,gaming;male;;other;Olivia;O;IT;2007-03-02;no;yes;nonuts;vegetarian;reading,photography;female;;Other
